,features,label,prediction
0,"[0.0,1850.0,2.0,2.0,5.0,1.0,8.0,8.0,1.0]",585000,631287.9457013574
1,"[0.0,1869.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0]",2175000,1940687.110754882
2,"[0.0,1870.0,2.0,2.0,5.0,1.0,8.0,8.0,0.0]",2000000,1940687.110754882
3,"[0.0,1880.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0]",1570000,1940687.110754882
4,"[0.0,1880.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0]",2850000,1940687.110754882
5,"[0.0,1885.0,2.0,2.0,1.0,1.0,24.0,23.0,0.0]",2790000,1940687.110754882
6,"[0.0,1890.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0]",4625000,1940687.110754882
7,"[0.0,1890.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0]",515000,631287.9457013574
8,"[0.0,1890.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0]",675000,631287.9457013574
9,"[0.0,1895.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0]",2185000,1940687.110754882
10,"[0.0,1895.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0]",3750000,1940687.110754882
11,"[0.0,1895.0,2.0,2.0,1.0,1.0,24.0,23.0,0.0]",4047500,1940687.110754882
12,"[0.0,1898.0,2.0,2.0,1.0,3.0,24.0,23.0,0.0]",2876000,1940687.110754882
13,"[0.0,1900.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0]",860000,1940687.110754882
14,"[0.0,1900.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0]",922000,1940687.110754882
15,"[0.0,1900.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0]",1575000,1940687.110754882
16,"[0.0,1900.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0]",1650000,1940687.110754882
17,"[0.0,1900.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0]",1700000,1940687.110754882
18,"[0.0,1900.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0]",1810000,1940687.110754882
19,"[0.0,1900.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0]",2000000,1940687.110754882
20,"[0.0,1900.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0]",510000,631287.9457013574
21,"[0.0,1900.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0]",550000,631287.9457013574
22,"[0.0,1900.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0]",620000,631287.9457013574
23,"[0.0,1900.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0]",294500,359906.5381165919
24,"[0.0,1900.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0]",347500,359906.5381165919
