,sale_price,features,prediction
0,128,"[21455.0,2016.0,4.0,2.0,16.0,2.0,27.0,27.0,3.0]",18556082.04616805
1,250,"[0.0,1910.0,2.0,2.0,5.0,1.0,8.0,8.0,3.0]",-3126152.6155780777
2,263,"[0.0,1926.0,2.0,2.0,1.0,1.0,0.0,0.0,3.0]",-2063115.3138620034
3,1800,"[13500.0,1920.0,2.0,2.0,6.0,1.0,26.0,26.0,3.0]",2869423.860226035
4,2500,"[10888.0,1900.0,2.0,2.0,6.0,1.0,39.0,38.0,3.0]",-1771729.6976345703
5,7500,"[7.0,1903.0,4.0,2.0,18.0,2.0,30.0,30.0,3.0]",5936253.008398876
6,8669,"[0.0,1960.0,2.0,2.0,9.0,1.0,13.0,13.0,3.0]",-5025525.012759671
7,15000,"[40.0,2005.0,4.0,2.0,18.0,2.0,30.0,30.0,3.0]",3949957.0477878973
8,16000,"[25.0,2005.0,4.0,2.0,18.0,2.0,30.0,30.0,3.0]",3939949.06621778
9,18888,"[0.0,1907.0,2.0,2.0,1.0,1.0,24.0,23.0,3.0]",-6679495.28560517
10,20000,"[0.0,2007.0,2.0,2.0,1.0,1.0,0.0,0.0,3.0]",-3657952.5209726244
11,20000,"[35.0,2005.0,4.0,2.0,18.0,2.0,30.0,30.0,3.0]",3946621.0539311916
12,22500,"[0.0,1924.0,2.0,2.0,1.0,1.0,0.0,0.0,3.0]",-2023736.6173901334
13,24453,"[0.0,1931.0,2.0,2.0,1.0,1.0,0.0,0.0,3.0]",-2161562.055041671
14,24500,"[0.0,2007.0,2.0,2.0,1.0,1.0,0.0,0.0,3.0]",-3657952.5209726244
15,25000,"[0.0,1963.0,2.0,2.0,1.0,1.0,0.0,0.0,3.0]",-2791621.198591545
16,27400,"[251.0,1939.0,2.0,2.0,3.0,1.0,1.0,1.0,3.0]",-2377481.4979619756
17,30000,"[0.0,1910.0,2.0,2.0,1.0,1.0,0.0,0.0,3.0]",-1748085.7420870662
18,31241,"[0.0,1950.0,2.0,2.0,1.0,1.0,0.0,0.0,3.0]",-2535659.6715244055
19,37952,"[21462.0,1963.0,4.0,2.0,31.0,2.0,61.0,63.0,3.0]",16389352.901093284
20,39950,"[44812.0,1963.0,4.0,2.0,31.0,2.0,61.0,63.0,3.0]",31968444.211903207
21,52500,"[21462.0,1963.0,4.0,2.0,31.0,2.0,61.0,63.0,3.0]",16389352.901093284
22,65000,"[25.0,1928.0,4.0,2.0,18.0,2.0,30.0,30.0,3.0]",5456028.880384676
23,65000,"[190.0,1959.0,4.0,2.0,12.0,2.0,19.0,19.0,3.0]",6868459.896543138
24,67000,"[891.0,1900.0,2.0,2.0,7.0,3.0,10.0,10.0,3.0]",-1410085.2692626044
25,67705,"[0.0,1900.0,2.0,2.0,1.0,1.0,24.0,23.0,3.0]",-6541669.8479536325
26,70275,"[0.0,1977.0,2.0,2.0,1.0,1.0,0.0,0.0,3.0]",-3067272.07389462
27,71480,"[0.0,1951.0,2.0,2.0,1.0,1.0,0.0,0.0,3.0]",-2555349.0197603405
28,75000,"[0.0,1963.0,2.0,2.0,1.0,1.0,0.0,0.0,3.0]",-2791621.198591545
29,76067,"[0.0,1964.0,2.0,2.0,1.0,1.0,0.0,0.0,3.0]",-2811310.54682748
30,90010,"[648.0,1974.0,2.0,2.0,3.0,1.0,1.0,1.0,3.0]",-2801730.7739973143
31,100044,"[1141.0,1961.0,2.0,2.0,3.0,1.0,1.0,1.0,3.0]",-2216840.252659112
32,101400,"[0.0,1926.0,2.0,2.0,5.0,1.0,8.0,8.0,3.0]",-3441182.187353015
33,111073,"[0.0,1960.0,2.0,2.0,1.0,1.0,0.0,0.0,3.0]",-2732553.1538837478
34,111073,"[0.0,1963.0,2.0,2.0,1.0,1.0,0.0,0.0,3.0]",-2791621.198591545
35,114736,"[0.0,1900.0,2.0,2.0,5.0,1.0,8.0,8.0,3.0]",-2929259.1332187355
36,127408,"[0.0,1960.0,2.0,2.0,1.0,1.0,0.0,0.0,3.0]",-2732553.1538837478
37,136903,"[622.0,2007.0,2.0,2.0,3.0,1.0,1.0,1.0,3.0]",-3468826.4338379875
38,142472,"[0.0,1910.0,2.0,2.0,5.0,1.0,8.0,8.0,3.0]",-3126152.6155780777
39,150000,"[0.0,1913.0,2.0,2.0,1.0,1.0,0.0,0.0,3.0]",-1807153.7867948636
40,155000,"[0.0,1924.0,2.0,2.0,1.0,1.0,0.0,0.0,3.0]",-2023736.6173901334
41,175085,"[572.0,1910.0,2.0,2.0,11.0,1.0,16.0,16.0,3.0]",-4194066.044466138
42,181504,"[549.0,1929.0,2.0,2.0,11.0,1.0,16.0,16.0,3.0]",-4583509.2326897085
43,181504,"[549.0,1929.0,2.0,2.0,11.0,1.0,16.0,16.0,3.0]",-4583509.2326897085
44,190000,"[0.0,1941.0,2.0,2.0,1.0,1.0,0.0,0.0,3.0]",-2358455.5374010056
45,200000,"[0.0,1900.0,2.0,2.0,5.0,1.0,8.0,8.0,3.0]",-2929259.1332187355
46,200000,"[0.0,1920.0,2.0,2.0,5.0,1.0,8.0,8.0,3.0]",-3323046.0979374126
47,204765,"[615.0,1929.0,2.0,2.0,11.0,1.0,16.0,16.0,3.0]",-4539474.113781214
48,204765,"[615.0,1929.0,2.0,2.0,11.0,1.0,16.0,16.0,3.0]",-4539474.113781214
49,206435,"[0.0,1900.0,2.0,2.0,5.0,3.0,8.0,8.0,3.0]",-1624300.529852569
50,207241,"[0.0,2005.0,2.0,2.0,9.0,1.0,13.0,13.0,3.0]",-5911545.683376685
51,207870,"[317.0,1940.0,2.0,2.0,3.0,1.0,1.0,1.0,3.0]",-2353135.7272894084
52,209429,"[615.0,1929.0,2.0,2.0,11.0,1.0,16.0,16.0,3.0]",-4539474.113781214
53,209429,"[615.0,1929.0,2.0,2.0,11.0,1.0,16.0,16.0,3.0]",-4539474.113781214
54,209429,"[615.0,1929.0,2.0,2.0,11.0,1.0,16.0,16.0,3.0]",-4539474.113781214
55,213832,"[178.0,2011.0,4.0,2.0,16.0,2.0,27.0,27.0,3.0]",4458540.5295274705
56,214081,"[615.0,1929.0,2.0,2.0,11.0,1.0,16.0,16.0,3.0]",-4539474.113781214
57,215000,"[0.0,1930.0,2.0,2.0,5.0,1.0,8.0,8.0,3.0]",-3519939.5802967474
58,218733,"[615.0,1929.0,2.0,2.0,11.0,1.0,16.0,16.0,3.0]",-4539474.113781214
59,222847,"[728.0,1910.0,2.0,2.0,11.0,1.0,16.0,16.0,3.0]",-4089983.036136955
60,225000,"[0.0,1959.0,2.0,2.0,1.0,1.0,0.0,0.0,3.0]",-2712863.805647813
61,227500,"[0.0,1961.0,2.0,2.0,9.0,1.0,13.0,13.0,3.0]",-5045214.360995598
62,235649,"[0.0,1956.0,2.0,2.0,1.0,1.0,0.0,0.0,3.0]",-2653795.760940008
63,250000,"[0.0,1900.0,2.0,2.0,5.0,1.0,8.0,8.0,3.0]",-2929259.1332187355
64,250000,"[0.0,1920.0,2.0,2.0,5.0,3.0,8.0,8.0,3.0]",-2018087.4945712537
65,250000,"[0.0,1963.0,2.0,2.0,1.0,1.0,0.0,0.0,3.0]",-2791621.198591545
66,255000,"[0.0,1910.0,2.0,2.0,5.0,1.0,8.0,8.0,2.0]",-1127354.6837768704
67,255000,"[0.0,1928.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0]",-103696.07853265852
68,255962,"[708.0,1929.0,2.0,2.0,11.0,1.0,16.0,16.0,2.0]",-2478626.6962453015
69,260193,"[850.0,1910.0,2.0,2.0,11.0,1.0,16.0,16.0,2.0]",-2009786.8542321585
70,270000,"[0.0,1909.0,2.0,2.0,5.0,1.0,8.0,8.0,2.0]",-1107665.3355409354
71,275000,"[0.0,1928.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0]",-103696.07853265852
72,275000,"[0.0,1949.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0]",-517172.3914872706
73,276948,"[979.0,1910.0,2.0,2.0,11.0,1.0,16.0,16.0,2.0]",-1923718.2127291895
74,276948,"[979.0,1910.0,2.0,2.0,11.0,1.0,16.0,16.0,2.0]",-1923718.2127291895
75,279500,"[0.0,1900.0,2.0,2.0,5.0,1.0,8.0,8.0,2.0]",-930461.2014175281
76,280000,"[0.0,1910.0,2.0,2.0,5.0,1.0,8.0,8.0,2.0]",-1127354.6837768704
77,280000,"[0.0,1956.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0]",-654997.8291388005
78,285000,"[0.0,1910.0,2.0,2.0,5.0,1.0,8.0,8.0,2.0]",-1127354.6837768704
79,288000,"[0.0,1910.0,2.0,2.0,5.0,1.0,8.0,8.0,2.0]",-1127354.6837768704
80,288000,"[0.0,1930.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0]",-143074.77500452846
81,291031,"[944.0,2015.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0]",-1412705.2835524827
82,292000,"[0.0,1927.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0]",-84006.730296731
83,294500,"[0.0,1900.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0]",447605.67207348347
84,295000,"[0.0,1930.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0]",-143074.77500452846
85,299000,"[0.0,1939.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0]",-320278.9091279283
86,299000,"[0.0,1957.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0]",-674687.1773747355
87,300000,"[0.0,1910.0,2.0,2.0,5.0,1.0,8.0,8.0,2.0]",-1127354.6837768704
88,300000,"[0.0,1910.0,2.0,2.0,5.0,1.0,8.0,8.0,2.0]",-1127354.6837768704
