,sale_price,features,prediction
0,610000,"[0.0,1910.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0]",585474.7259378843
1,610000,"[0.0,1910.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0]",585474.7259378843
2,610000,"[0.0,1924.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0]",606786.4742351528
3,610000,"[0.0,1929.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0]",614397.8129127487
4,610000,"[0.0,1940.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0]",631142.7580034593
5,610000,"[0.0,1952.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0]",649409.9708296894
6,610000,"[0.0,1961.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0]",663110.3804493621
7,610000,"[0.0,1963.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0]",666154.9159204005
8,610000,"[0.0,1964.0,2.0,2.0,9.0,1.0,13.0,13.0,1.0]",782192.7072125217
9,610000,"[0.0,1970.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0]",676810.7900690348
10,610000,"[0.0,2000.0,2.0,2.0,9.0,1.0,13.0,13.0,1.0]",836994.345691212
11,612500,"[0.0,1974.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0]",682899.8610111112
12,613500,"[0.0,1929.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0]",614397.8129127487
13,615000,"[0.0,1900.0,2.0,2.0,5.0,3.0,8.0,8.0,1.0]",885507.1899959343
14,615000,"[0.0,1910.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0]",585474.7259378843
15,615000,"[0.0,1955.0,2.0,2.0,9.0,1.0,13.0,13.0,1.0]",768492.2975928495
16,615000,"[0.0,1957.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0]",657021.3095072852
17,615000,"[0.0,1972.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0]",679855.3255400732
18,619000,"[5697.0,1951.0,2.0,2.0,25.0,3.0,77.0,56.0,1.0]",930840.1249171672
19,620000,"[0.0,1912.0,2.0,2.0,9.0,1.0,13.0,13.0,1.0]",703034.7849655249
20,620000,"[0.0,1925.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0]",608308.7419706718
21,620000,"[0.0,1960.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0]",661588.1127138431
22,620000,"[0.0,1962.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0]",664632.6481848815
23,620000,"[0.0,1964.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0]",667677.1836559195
24,620000,"[0.0,1966.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0]",670721.7191269579
25,620000,"[0.0,1975.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0]",684422.1287466306
26,620000,"[554.0,1941.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0]",645115.7825744948
27,620000,"[555.0,1962.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0]",677084.0796457441
28,620612,"[860.0,1900.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0]",582909.2407742762
29,621000,"[481.0,1962.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0]",677034.1573700937
30,622500,"[514.0,1989.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0]",718157.6488655498
31,625000,"[0.0,1926.0,2.0,2.0,1.0,1.0,24.0,23.0,1.0]",758244.1130139232
32,625000,"[0.0,1928.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0]",612875.5451772292
33,625000,"[0.0,1955.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0]",653976.7740362473
34,625000,"[0.0,1960.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0]",661588.1127138431
35,625000,"[0.0,1960.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0]",661588.1127138431
36,625000,"[0.0,1965.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0]",669199.451391439
37,625000,"[153.0,2013.0,4.0,2.0,12.0,2.0,19.0,19.0,1.0]",622392.1981802718
38,625000,"[428.0,2008.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0]",747022.7180606038
39,625000,"[531.0,1982.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0]",707513.2433478083
40,626000,"[0.0,1971.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0]",678333.0578045538
41,628000,"[0.0,1957.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0]",657021.3095072852
42,630000,"[0.0,1939.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0]",629620.4902679403
43,630000,"[0.0,1952.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0]",649409.9708296894
44,630000,"[0.0,1977.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0]",687466.664217669
45,630000,"[0.0,1986.0,2.0,2.0,9.0,1.0,13.0,13.0,1.0]",815682.5973939435
46,630000,"[0.0,1987.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0]",702689.3415728607
47,630000,"[0.0,2001.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0]",724001.0898701292
48,630000,"[512.0,1931.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0]",629864.7709547449
49,630000,"[707.0,2010.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0]",750255.4740033513
50,632000,"[0.0,1961.0,2.0,2.0,9.0,1.0,13.0,13.0,1.0]",777625.9040059643
51,632500,"[436.0,2007.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0]",745505.8473278582
52,635000,"[0.0,1920.0,2.0,2.0,9.0,1.0,13.0,13.0,1.0]",715212.9268496782
53,635000,"[0.0,1955.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0]",653976.7740362473
54,635000,"[0.0,1963.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0]",666154.9159204005
55,635000,"[0.0,1973.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0]",681377.5932755922
56,635000,"[0.0,1977.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0]",687466.664217669
57,635000,"[697.0,2008.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0]",747204.1922788466
58,637500,"[0.0,1900.0,2.0,2.0,5.0,1.0,8.0,8.0,1.0]",638544.3880247711
59,637500,"[0.0,1910.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0]",585474.7259378843
60,637500,"[0.0,1962.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0]",664632.6481848815
61,638210,"[0.0,1963.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0]",666154.9159204005
62,639000,"[0.0,1960.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0]",661588.1127138431
63,639000,"[532.0,1929.0,2.0,2.0,11.0,1.0,16.0,16.0,1.0]",756062.0217656102
64,640000,"[0.0,1900.0,2.0,2.0,5.0,1.0,8.0,8.0,1.0]",638544.3880247711
65,640000,"[0.0,1932.0,2.0,2.0,9.0,1.0,13.0,13.0,1.0]",733480.1396759083
66,640000,"[0.0,1949.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0]",644843.167623132
67,640000,"[0.0,1963.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0]",666154.9159204005
68,640000,"[0.0,1966.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0]",670721.7191269579
69,640000,"[0.0,1980.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0]",692033.4674242265
70,640000,"[0.0,1987.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0]",702689.3415728607
71,640000,"[0.0,1987.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0]",702689.3415728607
72,640000,"[620.0,1985.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0]",712140.0882102153
73,641000,"[0.0,1900.0,2.0,2.0,5.0,1.0,8.0,8.0,1.0]",638544.3880247711
74,641497,"[0.0,1929.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0]",614397.8129127487
75,643500,"[0.0,1960.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0]",661588.1127138431
76,644000,"[0.0,1955.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0]",653976.7740362473
77,645000,"[0.0,1900.0,2.0,2.0,5.0,1.0,8.0,8.0,1.0]",638544.3880247711
78,645000,"[0.0,1929.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0]",614397.8129127487
79,645000,"[0.0,1955.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0]",653976.7740362473
80,645000,"[0.0,1956.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0]",655499.0417717663
81,645000,"[0.0,1964.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0]",667677.1836559195
82,645000,"[0.0,1964.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0]",667677.1836559195
83,645000,"[0.0,1980.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0]",692033.4674242265
84,645000,"[0.0,1980.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0]",692033.4674242265
85,645000,"[589.0,1989.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0]",718208.245766547
86,645840,"[0.0,1936.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0]",625053.6870613829
87,648000,"[507.0,1988.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0]",716630.6587526039
