,features,label,prediction
0,"[0.0,1850.0,2.0,2.0,5.0,1.0,8.0,8.0,1.0]",510000,1032523.28409393
1,"[0.0,1850.0,2.0,2.0,5.0,1.0,8.0,8.0,1.0]",585000,1032523.28409393
2,"[0.0,1869.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0]",2270000,2076809.4811932687
3,"[0.0,1880.0,2.0,2.0,1.0,1.0,24.0,23.0,1.0]",534581,1151243.4489521196
4,"[0.0,1885.0,2.0,2.0,1.0,1.0,24.0,23.0,0.0]",2790000,2110265.6223577373
5,"[0.0,1890.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0]",3000000,2076809.4811932687
6,"[0.0,1895.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0]",2185000,2076809.4811932687
7,"[0.0,1895.0,2.0,2.0,1.0,1.0,24.0,23.0,0.0]",4047500,2110265.6223577373
8,"[0.0,1898.0,2.0,2.0,1.0,3.0,24.0,23.0,0.0]",2876000,2208903.8957093856
9,"[0.0,1900.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0]",805000,2076809.4811932687
10,"[0.0,1900.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0]",818000,2076809.4811932687
11,"[0.0,1900.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0]",1086000,2076809.4811932687
12,"[0.0,1900.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0]",1795000,2076809.4811932687
13,"[0.0,1900.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0]",2000000,2076809.4811932687
14,"[0.0,1900.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0]",2700000,2076809.4811932687
15,"[0.0,1900.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0]",515000,991665.5105477547
16,"[0.0,1900.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0]",550000,991665.5105477547
17,"[0.0,1900.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0]",570000,991665.5105477547
18,"[0.0,1900.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0]",675000,991665.5105477547
19,"[0.0,1900.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0]",280000,938953.2405681226
20,"[0.0,1900.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0]",287000,938953.2405681226
21,"[0.0,1900.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0]",329000,938953.2405681226
22,"[0.0,1900.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0]",352500,938953.2405681226
23,"[0.0,1900.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0]",400000,938953.2405681226
24,"[0.0,1900.0,2.0,2.0,1.0,1.0,24.0,23.0,0.0]",860000,2110265.6223577373
25,"[0.0,1900.0,2.0,2.0,1.0,1.0,24.0,23.0,0.0]",1097500,2110265.6223577373
26,"[0.0,1900.0,2.0,2.0,1.0,1.0,24.0,23.0,0.0]",1400000,2110265.6223577373
27,"[0.0,1900.0,2.0,2.0,1.0,1.0,24.0,23.0,0.0]",1600000,2110265.6223577373
28,"[0.0,1900.0,2.0,2.0,1.0,1.0,24.0,23.0,0.0]",1650000,2110265.6223577373
29,"[0.0,1900.0,2.0,2.0,1.0,1.0,24.0,23.0,0.0]",1825000,2110265.6223577373
30,"[0.0,1900.0,2.0,2.0,1.0,1.0,24.0,23.0,0.0]",2225000,2110265.6223577373
31,"[0.0,1900.0,2.0,2.0,1.0,1.0,24.0,23.0,0.0]",2600000,2110265.6223577373
32,"[0.0,1900.0,2.0,2.0,1.0,1.0,24.0,23.0,0.0]",4050000,2110265.6223577373
33,"[0.0,1900.0,2.0,2.0,1.0,1.0,24.0,23.0,0.0]",4200000,2110265.6223577373
34,"[0.0,1900.0,2.0,2.0,1.0,1.0,24.0,23.0,0.0]",5350000,2110265.6223577373
35,"[0.0,1900.0,2.0,2.0,1.0,1.0,24.0,23.0,0.0]",5430000,2110265.6223577373
36,"[0.0,1900.0,2.0,2.0,1.0,1.0,24.0,23.0,0.0]",5450000,2110265.6223577373
37,"[0.0,1900.0,2.0,2.0,1.0,1.0,24.0,23.0,0.0]",6500000,2110265.6223577373
38,"[0.0,1900.0,2.0,2.0,1.0,1.0,24.0,23.0,0.0]",6665000,2110265.6223577373
39,"[0.0,1900.0,2.0,2.0,1.0,3.0,0.0,0.0,0.0]",999999,2166694.489750918
40,"[0.0,1900.0,2.0,2.0,1.0,3.0,0.0,0.0,0.0]",6950000,2166694.489750918
41,"[0.0,1900.0,2.0,2.0,1.0,3.0,24.0,23.0,0.0]",1200000,2208903.8957093856
42,"[0.0,1900.0,2.0,2.0,1.0,3.0,24.0,23.0,0.0]",2000000,2208903.8957093856
43,"[0.0,1900.0,2.0,2.0,1.0,3.0,24.0,23.0,0.0]",2800000,2208903.8957093856
44,"[0.0,1900.0,2.0,2.0,1.0,3.0,24.0,23.0,0.0]",3061500,2208903.8957093856
45,"[0.0,1900.0,2.0,2.0,1.0,3.0,24.0,23.0,0.0]",3100000,2208903.8957093856
46,"[0.0,1900.0,2.0,2.0,5.0,1.0,8.0,8.0,0.0]",760000,1990348.4488488487
47,"[0.0,1900.0,2.0,2.0,5.0,1.0,8.0,8.0,0.0]",765000,1990348.4488488487
48,"[0.0,1900.0,2.0,2.0,5.0,1.0,8.0,8.0,0.0]",800000,1990348.4488488487
49,"[0.0,1900.0,2.0,2.0,5.0,1.0,8.0,8.0,0.0]",835000,1990348.4488488487
50,"[0.0,1900.0,2.0,2.0,5.0,1.0,8.0,8.0,0.0]",857500,1990348.4488488487
51,"[0.0,1900.0,2.0,2.0,5.0,1.0,8.0,8.0,0.0]",900000,1990348.4488488487
52,"[0.0,1900.0,2.0,2.0,5.0,1.0,8.0,8.0,0.0]",940000,1990348.4488488487
53,"[0.0,1900.0,2.0,2.0,5.0,1.0,8.0,8.0,1.0]",525000,1032523.28409393
54,"[0.0,1900.0,2.0,2.0,5.0,1.0,8.0,8.0,1.0]",530000,1032523.28409393
55,"[0.0,1900.0,2.0,2.0,5.0,1.0,8.0,8.0,1.0]",530000,1032523.28409393
56,"[0.0,1900.0,2.0,2.0,5.0,1.0,8.0,8.0,1.0]",535000,1032523.28409393
57,"[0.0,1900.0,2.0,2.0,5.0,1.0,8.0,8.0,1.0]",560000,1032523.28409393
58,"[0.0,1900.0,2.0,2.0,5.0,1.0,8.0,8.0,1.0]",574000,1032523.28409393
59,"[0.0,1900.0,2.0,2.0,5.0,1.0,8.0,8.0,1.0]",577500,1032523.28409393
60,"[0.0,1900.0,2.0,2.0,5.0,1.0,8.0,8.0,1.0]",640000,1032523.28409393
61,"[0.0,1900.0,2.0,2.0,5.0,1.0,8.0,8.0,1.0]",640000,1032523.28409393
62,"[0.0,1900.0,2.0,2.0,5.0,1.0,8.0,8.0,1.0]",647500,1032523.28409393
63,"[0.0,1900.0,2.0,2.0,5.0,1.0,8.0,8.0,1.0]",681209,1032523.28409393
64,"[0.0,1900.0,2.0,2.0,5.0,1.0,8.0,8.0,1.0]",710000,1032523.28409393
65,"[0.0,1900.0,2.0,2.0,5.0,1.0,8.0,8.0,1.0]",740000,1032523.28409393
