,features,label,prediction
0,"[0.0,1850.0,2.0,2.0,5.0,1.0,8.0,8.0,0.0]",875000,1228213.2650120142
1,"[0.0,1850.0,2.0,2.0,5.0,3.0,8.0,8.0,0.0]",1475000,1306351.483708536
2,"[0.0,1880.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0]",3075000,1445744.8083968437
3,"[0.0,1880.0,2.0,2.0,5.0,3.0,8.0,8.0,0.0]",1000000,1306351.483708536
4,"[0.0,1889.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0]",960000,1445744.8083968437
5,"[0.0,1890.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0]",675000,992951.973628022
6,"[0.0,1900.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0]",818000,1445744.8083968437
7,"[0.0,1900.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0]",860000,1445744.8083968437
8,"[0.0,1900.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0]",1050000,1445744.8083968437
9,"[0.0,1900.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0]",1575000,1445744.8083968437
10,"[0.0,1900.0,2.0,2.0,1.0,1.0,24.0,23.0,0.0]",860000,1818676.7029587068
11,"[0.0,1900.0,2.0,2.0,1.0,1.0,24.0,23.0,0.0]",1097500,1818676.7029587068
12,"[0.0,1900.0,2.0,2.0,1.0,1.0,24.0,23.0,0.0]",1650000,1818676.7029587068
13,"[0.0,1900.0,2.0,2.0,1.0,1.0,24.0,23.0,0.0]",1825000,1818676.7029587068
14,"[0.0,1900.0,2.0,2.0,1.0,1.0,24.0,23.0,0.0]",2250000,1818676.7029587068
15,"[0.0,1900.0,2.0,2.0,1.0,1.0,24.0,23.0,0.0]",2600000,1818676.7029587068
16,"[0.0,1900.0,2.0,2.0,1.0,3.0,0.0,0.0,0.0]",950000,1407185.3564974268
17,"[0.0,1900.0,2.0,2.0,1.0,3.0,24.0,23.0,0.0]",2600233,2006460.0815760698
18,"[0.0,1900.0,2.0,2.0,1.0,3.0,24.0,23.0,0.0]",2750000,2006460.0815760698
19,"[0.0,1900.0,2.0,2.0,1.0,3.0,24.0,23.0,0.0]",2800000,2006460.0815760698
20,"[0.0,1900.0,2.0,2.0,1.0,3.0,24.0,23.0,0.0]",3061500,2006460.0815760698
21,"[0.0,1900.0,2.0,2.0,5.0,1.0,8.0,8.0,0.0]",765000,1228213.2650120142
22,"[0.0,1900.0,2.0,2.0,5.0,1.0,8.0,8.0,0.0]",775000,1228213.2650120142
23,"[0.0,1900.0,2.0,2.0,5.0,1.0,8.0,8.0,0.0]",900000,1228213.2650120142
24,"[0.0,1900.0,2.0,2.0,5.0,1.0,8.0,8.0,0.0]",940000,1228213.2650120142
25,"[0.0,1900.0,2.0,2.0,5.0,1.0,8.0,8.0,0.0]",999000,1228213.2650120142
26,"[0.0,1900.0,2.0,2.0,5.0,1.0,8.0,8.0,0.0]",1750000,1228213.2650120142
27,"[0.0,1900.0,2.0,2.0,5.0,1.0,8.0,8.0,1.0]",620000,788512.7669588246
28,"[0.0,1900.0,2.0,2.0,5.0,1.0,8.0,8.0,1.0]",640000,788512.7669588246
29,"[0.0,1900.0,2.0,2.0,5.0,1.0,8.0,8.0,1.0]",641000,788512.7669588246
30,"[0.0,1900.0,2.0,2.0,5.0,1.0,8.0,8.0,1.0]",645000,788512.7669588246
31,"[0.0,1900.0,2.0,2.0,5.0,1.0,8.0,8.0,1.0]",669888,788512.7669588246
32,"[0.0,1900.0,2.0,2.0,5.0,1.0,8.0,8.0,1.0]",693300,788512.7669588246
33,"[0.0,1900.0,2.0,2.0,5.0,1.0,8.0,8.0,1.0]",710000,788512.7669588246
34,"[0.0,1900.0,2.0,2.0,5.0,1.0,8.0,8.0,1.0]",715000,788512.7669588246
35,"[0.0,1900.0,2.0,2.0,5.0,1.0,8.0,8.0,1.0]",750000,788512.7669588246
36,"[0.0,1900.0,2.0,2.0,5.0,3.0,8.0,8.0,0.0]",850000,1306351.483708536
37,"[0.0,1900.0,2.0,2.0,5.0,3.0,8.0,8.0,0.0]",850000,1306351.483708536
38,"[0.0,1900.0,2.0,2.0,5.0,3.0,8.0,8.0,0.0]",895000,1306351.483708536
39,"[0.0,1900.0,2.0,2.0,5.0,3.0,8.0,8.0,0.0]",900000,1306351.483708536
40,"[0.0,1900.0,2.0,2.0,5.0,3.0,8.0,8.0,0.0]",1800000,1306351.483708536
41,"[0.0,1900.0,2.0,2.0,5.0,3.0,8.0,8.0,0.0]",3200000,1306351.483708536
42,"[0.0,1900.0,2.0,2.0,5.0,3.0,8.0,8.0,1.0]",620000,849494.8954324151
43,"[0.0,1900.0,2.0,2.0,5.0,3.0,8.0,8.0,1.0]",725000,849494.8954324151
44,"[0.0,1900.0,2.0,2.0,5.0,3.0,8.0,8.0,1.0]",750000,849494.8954324151
45,"[0.0,1900.0,2.0,2.0,9.0,1.0,13.0,13.0,0.0]",800000,1241953.5392834793
46,"[0.0,1900.0,2.0,2.0,9.0,1.0,13.0,13.0,0.0]",1200000,1241953.5392834793
47,"[0.0,1900.0,2.0,2.0,9.0,1.0,13.0,13.0,0.0]",1325000,1241953.5392834793
48,"[0.0,1900.0,2.0,2.0,9.0,1.0,13.0,13.0,0.0]",1358193,1241953.5392834793
49,"[0.0,1900.0,2.0,2.0,9.0,1.0,13.0,13.0,1.0]",660000,797759.1060082987
50,"[0.0,1901.0,2.0,2.0,5.0,1.0,8.0,8.0,1.0]",645000,787599.4276809788
51,"[0.0,1902.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0]",625000,992951.973628022
52,"[0.0,1902.0,2.0,2.0,1.0,1.0,24.0,23.0,0.0]",1275000,1818676.7029587068
53,"[0.0,1902.0,2.0,2.0,1.0,1.0,24.0,23.0,0.0]",1550000,1818676.7029587068
54,"[0.0,1903.0,2.0,2.0,1.0,1.0,24.0,23.0,0.0]",2750000,1818676.7029587068
55,"[0.0,1903.0,2.0,2.0,1.0,3.0,24.0,23.0,0.0]",3100000,2006460.0815760698
56,"[0.0,1905.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0]",615000,992951.973628022
57,"[0.0,1908.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0]",1500000,1428218.7426994047
58,"[0.0,1908.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0]",640000,974591.8245972497
59,"[0.0,1908.0,2.0,2.0,1.0,1.0,24.0,23.0,0.0]",1647500,1801150.6372612678
60,"[0.0,1908.0,2.0,2.0,9.0,3.0,13.0,13.0,0.0]",1410000,1338653.1020843699
61,"[0.0,1909.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0]",2250000,1428218.7426994047
62,"[0.0,1909.0,2.0,2.0,1.0,1.0,24.0,23.0,0.0]",1410000,1801150.6372612678
63,"[0.0,1909.0,2.0,2.0,1.0,1.0,24.0,23.0,0.0]",1550000,1801150.6372612678
64,"[0.0,1909.0,2.0,2.0,1.0,1.0,24.0,23.0,0.0]",1760000,1801150.6372612678
65,"[0.0,1909.0,2.0,2.0,1.0,1.0,24.0,23.0,0.0]",2667400,1801150.6372612678
66,"[0.0,1909.0,2.0,2.0,1.0,1.0,24.0,23.0,1.0]",699999,1043486.7895253912
67,"[0.0,1910.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0]",813750,1428218.7426994047
68,"[0.0,1910.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0]",950000,1428218.7426994047
69,"[0.0,1910.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0]",950000,1428218.7426994047
70,"[0.0,1910.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0]",1200000,1428218.7426994047
71,"[0.0,1910.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0]",1257500,1428218.7426994047
72,"[0.0,1910.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0]",1335000,1428218.7426994047
73,"[0.0,1910.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0]",1395000,1428218.7426994047
74,"[0.0,1910.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0]",1540000,1428218.7426994047
75,"[0.0,1910.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0]",1750000,1428218.7426994047
76,"[0.0,1910.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0]",1999000,1428218.7426994047
77,"[0.0,1910.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0]",610000,974591.8245972497
78,"[0.0,1910.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0]",610000,974591.8245972497
79,"[0.0,1910.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0]",630000,974591.8245972497
80,"[0.0,1910.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0]",650000,974591.8245972497
